Profile_Index,Valid_Count,Gradient_RMSE_dBZ
471,1,
472,4,1.131329
473,4,1.2403849
474,6,0.93543947
475,6,1.7208915
476,4,1.8123406
477,2,
478,2,
479,2,
480,15,4.2654624
481,18,6.4705863
482,14,3.2830598
483,10,2.6005437
484,8,3.7204056
485,5,5.7735696
486,5,8.1920395
487,11,2.9014528
488,9,3.1140702
489,9,2.3882139
490,8,8.055331
491,9,4.878293
492,1,
493,8,5.4812994
494,7,5.3551407
495,6,3.1734939
496,0,
497,11,6.9174943
498,9,6.904951
499,11,4.323099
500,2,
501,8,7.2118263
502,12,3.4943664
503,11,8.72786
504,3,8.229947
505,7,3.674506
506,9,5.3598413
507,5,9.214278
508,11,3.980831
509,8,5.04333
510,7,4.648579
511,6,5.366755
512,5,4.6146464
513,9,6.5907454
514,14,9.115384
515,17,8.153266
516,17,8.10177
517,16,9.225332
518,18,9.059169
519,17,8.630085
520,17,8.939342
521,17,9.182305
522,17,9.162852
523,24,8.7843895
524,20,10.801604
525,11,3.6269546
526,11,8.330585
527,8,14.578661
528,9,9.666541
529,10,3.0995038
530,13,9.790156
531,14,9.91356
532,16,8.581522
533,17,8.434927
534,18,8.1791725
535,18,8.384021
536,18,8.88708
537,18,8.109519
538,16,2.3614485
539,17,7.700585
540,11,1.466893
541,9,1.9726146
542,10,7.7214856
543,8,4.483278
544,3,2.3614483
545,4,3.0208025
546,6,4.4897695
547,7,4.3694654
548,3,2.361972
549,6,3.3728695
550,2,
551,3,4.4857388
552,5,11.601251
553,17,4.079592
554,10,8.642664
555,13,4.8030353
556,11,7.4387546
557,11,8.655049
558,7,3.3412998
559,3,2.919492
560,9,10.415054
561,12,8.2293
562,16,10.910569
563,15,11.690678
564,19,8.323897
565,14,9.999719
566,20,8.207984
567,17,7.7015405
568,19,7.7376432
569,20,5.7401524
570,20,7.0025754
571,17,8.55571
572,16,6.7928786
573,15,10.1319275
574,9,9.506953
575,4,2.3126464
576,5,1.6601363
577,5,2.2289188
578,4,1.5880927
579,6,5.1078653
580,7,6.567706
581,5,1.0970391
582,4,1.6096176
583,4,2.0317988
584,3,2.2612858
585,3,2.8101997
586,3,3.7475626
587,4,2.0826967
588,5,1.1599394
589,6,9.659717
590,6,9.670342
591,7,5.3917484
592,5,2.680682
593,3,2.0068223
594,1,
595,0,
596,3,1.7955248
597,4,1.9751797
598,5,4.08803
599,5,5.519483
600,6,5.4965277
601,6,4.4991455
602,8,4.669271
